Date,Open,High,Low,Close
2018-05-06,1315.05,1315.05,1315.05,1315.05
2018-05-04,1312.71,1315.21,1308.21,1315.05
2018-05-03,1305.66,1318.005,1305.55,1312.21
2018-05-02,1304.8,1313.355,1303.96,1304.855
2018-05-01,1316.355,1316.355,1301.91,1304.16
2018-04-30,1322.8,1325.005,1310.505,1315.355
2018-04-29,1317.8,1317.8,1317.8,1317.8
2018-04-28,1317.8,1317.8,1317.8,1317.8
2018-04-27,1317.505,1325.21,1315.755,1323.41
2018-04-26,1321.91,1326.3,1315.46,1317.275
2018-04-25,1330.21,1332.05,1319.005,1323.21
2018-04-24,1324.91,1332.66,1322.855,1330.68
2018-04-23,1334.8,1335.46,1322.21,1325.325
2018-04-22,1335.125,1335.125,1335.125,1335.125
2018-04-20,1345.91,1346.21,1335.105,1335.125
2018-04-19,1349.255,1354.55,1341.355,1345.91
2018-04-18,1347.55,1355.66,1342.46,1349.32
2018-04-17,1346.21,1349.41,1337.755,1347.355
2018-04-16,1343.105,1350.55,1340.355,1344.66
2018-04-15,1345.16,1345.16,1345.16,1345.16
2018-04-13,1335.605,1347.16,1335.505,1345.16
2018-04-12,1352.755,1353.21,1333.96,1335.48
2018-04-11,1340.875,1365.105,1348.005,1353.355
2018-04-10,1336.71,1342.46,1331.505,1340.88
2018-04-09,1336.16,1337.855,1335.755,1336.355
2018-04-06,1330.855,1334.005,1330.605,1333
2018-04-05,1333.3,1334.91,1322.8,1326.55
2018-04-04,1332.96,1348.05,1331.605,1333.35
2018-04-03,1340.66,1342.46,1329.255,1332.8
2018-04-02,1325.755,1344.71,1324.96,1338.9
2018-04-01,1320.83,1320.83,1320.83,1320.83
2018-03-30,1320.83,1320.83,1320.83,1320.83
2018-03-29,1324.8,1328.355,1320.82,1320.82
2018-03-28,1345.755,1347.05,1323.605,1325
2018-03-27,1353.505,1356.605,1340.3,1344.71
2018-03-26,1348.21,1355.875,1343.55,1353.5
2018-03-25,1347.05,1347.05,1347.05,1347.05
2018-03-23,1331.105,1350.21,1331.105,1347.05
2018-03-22,1331.91,1334.755,1325.005,1330.8
2018-03-21,1311.71,1336.41,1310.005,1331.71
2018-03-20,1317.605,1318.3,1306.125,1311.505
2018-03-19,1313.3,1319.505,1307.91,1317.21
2018-03-18,1313.855,1314.46,1313.855,1313.855
2018-03-16,1316.105,1321.66,1309.71,1313.85
2018-03-15,1323.91,1327.96,1313.125,1316.41
2018-03-14,1326.41,1330.105,1321.755,1323.8
2018-03-13,1323.755,1333.875,1314.235,1326.05
2018-03-12,1322.91,1324.16,1315.41,1323.41
2018-03-11,1323.5,1324.3,1322.8,1322.8
2018-03-09,1321.8,1325.005,1313.71,1323.5
2018-03-08,1325.66,1328.91,1319.41,1322.1
2018-03-07,1325.21,1327.96,1322.3,1324.5
2018-03-06,1320.755,1338.57,1320.41,1338.57
2018-03-05,1323.71,1327.755,1317.605,1320.35
2018-03-04,1322.5,1324.5,1322.5,1324.5
2018-03-02,1316.66,1325.41,1315.3,1322.5
2018-03-01,1312.505,1321.005,1303.005,1317.16
2018-02-28,1318.8,1321.96,1315.855,1320
2018-02-27,1333.255,1336.66,1313.71,1318.605
2018-02-26,1329.71,1340.855,1326.755,1328.61
2018-02-25,1328.95,1328.95,1328.95,1328.95
2018-02-23,1331.91,1332.21,1325.91,1328.95
2018-02-22,1324.505,1332.21,1321.005,1331.96
2018-02-21,1329.755,1335.96,1322.605,1323.5
2018-02-20,1347.91,1347.96,1324.015,1325.05
2018-02-19,1347.21,1351.21,1346.105,1347.5
2018-02-18,1345.5,1345.5,1345.5,1345.5
2018-02-16,1353.755,1361.71,1345.105,1352.4
2018-02-15,1350.755,1359.875,1348.71,1359.875
2018-02-14,1329.605,1355.355,1321.005,1350.44
2018-02-13,1324.255,1330.8,1321.71,1329.16
2018-02-12,1315.505,1326.21,1315.3,1322.71
2018-02-11,1316.25,1316.25,1316.25,1316.25
2018-02-09,1321.16,1322.46,1311.46,1316.25
2018-02-08,1317.55,1321.66,1307.21,1313.78
2018-02-07,1324.855,1332.3,1312.21,1318.6
2018-02-06,1339.355,1346.05,1320.505,1324.65
2018-02-05,1333.41,1341.46,1329.3,1341
2018-02-04,1335.6,1335.6,1335.5,1335.5
