Date,Open,High,Low,Close,Adj Close
2012-03-12,82.360001,82.419998,82.099998,82.373001,82.373001
2012-03-13,82.374001,82.849998,81.986,82.362999,82.362999
2012-03-14,82.962997,83.760002,82.957001,82.959999,82.959999
2012-03-15,83.811996,84.152,83.196999,83.839996,83.839996
2012-03-16,83.495003,83.938004,83.242996,83.491997,83.491997
2012-03-19,83.440002,83.550003,83.019997,83.449997,83.449997
2012-03-20,83.377998,83.815002,83.330002,83.370003,83.370003
2012-03-21,83.669998,84.081001,83.537003,83.650002,83.650002
2012-03-22,83.192001,83.450996,82.550003,83.203003,83.203003
2012-03-23,82.522003,82.933998,82.019997,82.510002,82.510002
2012-03-26,82.581001,82.982002,82.550003,82.588997,82.588997
2012-03-27,83.014999,83.375,82.653,82.987,82.987
2012-03-28,83.057999,83.172997,82.629997,83.047997,83.047997
2012-03-29,82.827003,82.864998,81.977997,82.832001,82.832001
2012-03-30,82.292,82.421997,81.849998,82.273003,82.273003
2012-04-02,82.864998,83.280998,81.912003,82.870003,82.870003
2012-04-03,81.666,82.391998,81.666,81.540001,81.540001
2012-04-04,82.842003,82.93,82.102997,82.830002,82.830002
2012-04-05,82.416,82.43,81.830002,82.440002,82.440002
2012-04-06,82.199997,82.540001,81.356003,82.269997,82.269997
2012-04-09,81.281998,81.536003,81.220001,81.330002,81.330002
2012-04-10,81.636002,81.839996,80.849998,81.642998,81.642998
2012-04-11,80.669998,81.107002,80.584,80.694,80.694
2012-04-12,80.998001,81.113998,80.804001,81.008003,81.008003
2012-04-13,80.919998,81.167999,80.839996,80.93,80.93
2012-04-16,80.910004,80.980003,80.330002,80.902,80.902
2012-04-17,80.389999,80.791,80.365997,80.380997,80.380997
2012-04-18,81.059998,81.545998,81.005997,81.059998,81.059998
2012-04-19,81.309998,81.717003,81.279999,81.300003,81.300003
2012-04-20,81.625999,81.772003,81.489998,81.609001,81.609001
2012-04-23,81.599998,81.599998,80.970001,81.599998,81.599998
2012-04-24,81.080002,81.252998,80.847,81.080002,81.080002
2012-04-25,81.386002,81.554001,81.098999,81.389999,81.389999
2012-04-26,81.320999,81.407997,80.669998,81.300003,81.300003
2012-04-27,81.067001,81.417,80.410004,81.057999,81.057999
2012-04-30,80.349998,80.370003,79.723999,80.349998,80.349998
2012-05-01,79.93,80.288002,79.629997,79.920998,79.920998
2012-05-02,80.220001,80.581001,80.049004,80.209999,80.209999
2012-05-03,80.120003,80.528999,80.098999,80.121002,80.121002
2012-05-04,80.211998,80.367996,79.809998,80.209999,80.209999
2012-05-07,79.819,79.973999,79.720001,79.818001,79.818001
2012-05-08,79.912003,80.071999,79.700996,79.919998,79.919998
2012-05-09,79.871002,79.93,79.436996,79.860001,79.860001
2012-05-10,79.698997,79.966003,79.594002,79.709999,79.709999
2012-05-11,79.892998,79.985001,79.737,79.869003,79.869003
2012-05-14,80.019997,80.169998,79.678001,80.029999,80.029999
2012-05-15,79.865997,80.134003,79.800003,79.849998,79.849998
2012-05-16,80.309998,80.540001,80.269997,80.324997,80.324997
2012-05-17,80.367996,80.372002,79.199997,80.349998,80.349998
2012-05-18,79.403999,79.459999,79.039001,79.407997,79.407997
2012-05-21,79.161003,79.439003,79.113998,79.169998,79.169998
2012-05-22,79.410004,79.980003,79.299004,79.410004,79.410004
2012-05-23,80.001999,80.045998,79.230003,80.003998,80.003998
2012-05-24,79.457001,79.550003,79.335999,79.419998,79.419998
2012-05-25,79.662003,79.815002,79.486,79.660004,79.660004
2012-05-28,79.592003,79.617996,79.325996,79.589996,79.589996
2012-05-29,79.580002,79.629997,79.383003,79.560997,79.560997
2012-05-30,79.516998,79.559998,78.859001,79.5,79.5
2012-05-31,78.966003,78.974998,78.213997,78.982002,78.982002
2012-06-01,78.537003,78.622002,77.660004,78.528,78.528
2012-06-04,78.063004,78.355003,77.970001,78.099998,78.099998
2012-06-05,78.348,78.897003,78.146004,78.361,78.361
2012-06-06,78.730003,79.258003,78.612999,78.730003,78.730003
2012-06-07,79.271004,79.763,79.209,79.269997,79.269997
2012-06-08,79.698997,79.709999,79.127998,79.690002,79.690002
2012-06-11,79.559998,79.720001,79.350998,79.559998,79.559998
2012-06-12,79.311996,79.68,79.158997,79.306999,79.306999
2012-06-13,79.530998,79.735001,79.32,79.527,79.527
2012-06-14,79.376999,79.459999,79.163002,79.372002,79.372002
2012-06-15,79.410004,79.491997,78.606003,79.421997,79.421997
2012-06-18,79.066002,79.288002,78.865997,79.052002,79.052002
2012-06-19,79.018997,79.044998,78.850998,79,79
2012-06-20,79.059998,79.565002,78.780998,79.033997,79.033997
2012-06-21,79.424004,80.301003,79.379997,79.420998,79.420998
2012-06-22,80.059998,80.556999,80.056999,80.019997,80.019997
2012-06-25,80.567001,80.567001,79.431,80.559998,80.559998
2012-06-26,79.639999,79.781998,79.245003,79.650002,79.650002
